sentence1,sentence2,gold_label
Two people holding their bikes beside of bagpipe.co.uk Nifty Nosh building.,Three people throw their bikes at a fish.,contradiction
A boy turns a handcrank in a courtyard.,The boy is walking away from the handcrank.,contradiction
A greyhound sporting number 4 is racing.,The greyhound is number 2.,contradiction
An artist is painting a mural on the side of a building.,The artist is working in his studio.,contradiction
Two children an adult wearing a bicycle helmet playing in a pile of fall leaves.,A lion roars into the wild.,contradiction
A dog jumping over a gate followed by another dog.,The dog could not jump over the gate to chase the dog.,contradiction
A boy is jumping a cement wall with a green skateboard.,the boy is surfing,contradiction
Basketball players huddle.,Basketball players are running away from eachother.,contradiction
Man with injured eye and woman holding child pose outside of building.,A couple watching tv,contradiction
A father (or child molester) swims with a small child in a pool.,The only water visible here is in a bathtub.,contradiction
People wearing black and orange jacket are walking on the snowy road and head towards the same direction,The people wearing the black and orange jackets were watching tv,contradiction
Three friends pose for a photo outside of the 2008 Summer Olympics.,Three friends are competing in a race,contradiction
A young boy is sitting and reading a book during a book fair.,The young boy is getting ready for basketball practice.,contradiction
"The old man is wearing glasses, a scarf, and a hat.",The old man isn't wearing his hat and scarf today.,contradiction
"Three individuals, two men and one woman, on a stage in front of a crowd.",four people sat on the stage,contradiction
An enthusiastic crowd of people kicking a red ball around on a grassy field.,the people are at the cabin sleeping,contradiction
A woman on the beach playing with a red ball.,"A woman is lying on the beach, reading a novel.",contradiction
A woman in a floral dress is carrying a bucket of water down a countryside path.,A woman carries a banana.,contradiction
A person is balancing an object on his head.,A man sleeps on the couch.,contradiction
A worker in a white hard hat and yellow vest operates a yellow bulldozer.,The worker is eating sushi at the restaurant.,contradiction
Man in black jacket and baseball cap juggling on a street.,The man is wearing a purple jacket.,contradiction
A young man jumping off of a dock in front of a suburban American home.,The man is dead,contradiction
a security wearing a nice clothes,dog in a bow tie,contradiction
"While standing in a crowd of people, a man with dark hair is holding a blond-haired little boy on top of his shoulders who looks very tired.",The man and boy are energetically playing with each other alone.,contradiction
Two people rest on a park bench next to their bikes.,Two people drinking water out of a fountain,contradiction
A woman wearing a blue skirt is looking at something on her phone.,the woman calling alliens,contradiction
The photo has been edited to be black and white with splashes of color on the bikes.,The photo is a photo of a house.,contradiction
Young girl in wading pool with onlooker in red shirt and backpack standing on the side,A little boy splashes in the water by himself,contradiction
People on a ride at a fair.,The people are on an airplane.,contradiction
A man sits in a train car smiling at the camera.,A man runs down the aisle on the train.,contradiction
A store on the side of the road that contains many baskets filled with goods.,an iside botique,contradiction
A hockey player gets into position.,A basketball player throws the ball.,contradiction
A man wearing snowshoes near a river.,A man in swimming trunks jumps into a river.,contradiction
A blond woman in a black jacket walks in front of a wall with wall art pushing a red cart.,A blonde woman is in a bikini.,contradiction
A black man and white woman sing together.,There is a white man and a black woman singing.,contradiction
Two bikers riding close together while onlookers stand in the back behind a fence.,People stand and watch a car race.,contradiction
There are people on the beach in the sand.,the people are indoors watching tv,contradiction
A man in a white shirt is sitting in front of a large amount of computer equipment.,A man is sleeping.,contradiction
A river guide boat gently going down a river past a house.,A river boat is sinking in a river by a factory.,contradiction
A group of kids enjoy snacks and are playing a board game together.,There are children running in the snow.,contradiction
Two girls sit on the edge of a river.,Two boys sit next to the ocean.,contradiction
urban street busy with traffic with man selling something to a woman with his stand.,The man is selling from inside walmart,contradiction
A busy day for citizens at a local city court.,Supreme court ruling is handed down.,contradiction
Three adults and a child inspect a wave rider at the water's edge.,dog in a chair,contradiction
An older man with glasses raises his eyebrows in surprise.,A man puts contacts into his eyes while looking into a mirror.,contradiction
A woman in a blue shirt smiles at a man in a white shirt.,A women under a house,contradiction
a black dog digging through the snow.,The pet is inside the house.,contradiction
Two people climbing up a snowy mountain.,Some people are camping in the woods.,contradiction
A horse-rider leaps an obstacle.,The horse-rider sits still.,contradiction
A biker is riding a bike in the forest.,The biker is riding his bike in the street.,contradiction
A black dog runs with a ball in its mouth.,A brown dog is running with a ball in its mouth.,contradiction
A caucasian woman in a dark orange t-shirt is spinning clay on a wheel while a young child looks on.,A group of children throw clay at each other.,contradiction
"A woman standing by a car in a garage dressed for winter weather in a red knit scarf, black gloves and hat and red handbag.",The woman riding a roller coaster.,contradiction
Army soldiers in the streets holding their guns.,man goes to his family after 2 years of service,contradiction
"A young boy, wearing suspenders and a red flannel shirt, hits a piece of metal on an anvil.",A young man role plays a character in Skyrim.,contradiction
Boys in uniform wait outside a building.,The girls wanted tea and cookies.,contradiction
A man flies into the air with his surfboard.,A man flying off of a skate ramp.,contradiction
A child rides a pony while an older child and adult stand next to her.,A child is watching someone ride a pony.,contradiction
A group of people are putting on an elaborate theatrical performance.,A speaker addresses the crowd from a bare stage.,contradiction
A little kid in a red jacket riding a broom like a horse.,A kids is sweeping the floor on horseback.,contradiction
A man and a little boy enjoy a dinner of vegetables.,A father and son eating steak.,contradiction
On this bus is a rather angry looking woman.,There were happy women on the bus.,contradiction
"A man wearing a brown leather coat is on the sidewalk, while leaning against a window seal.",A man is doing laundry at the laundromat.,contradiction
A man is walking past a large brick building that is painted with graffiti.,A man is sitting on his porch.,contradiction
A man outside cracking an egg over a bowl as a woman looks on.,The woman is pouring milk.,contradiction
Two little league players are next to a base in the field.,two little league players are sitting on the bleachers.,contradiction
A redheaded child is happily swinging in park.,A redheaded child is crying on a see-saw,contradiction
Three children sit in a field and play with a soccer ball.,Ten kids are playing basketball.,contradiction
A black and white dog has pinned a brown dog to the ground in front of a wishing well.,A brown and white dog has pinned a brown dog to the ground in front of a wishing well.,contradiction
A female marathon runner inhales mid-stride.,A runner is having a water break.,contradiction
A woman in a red and white striped shirt is sitting down.,The woman is not wearing any clothes.,contradiction
Someone is scaling a rock formation with trees in the background.,Someone is walking on the beach.,contradiction
A boy on a skateboard sliding on a rail.,The boy is on a bike.,contradiction
Boy in brown shirt with headphones on sits on woman's shoulders in a crowd.,A boy is sitting on a man's shoulders as he listens to music.,contradiction
"A man sitting on the ground is playfully kicked by a young woman, while a man in the back observes.","A man and a women are at the chapel, getting married as a man looks with joy.",contradiction
A woman is guiding a brown dog around an obstacle course,A man is pushing a dog through an obstacle course.,contradiction
People conversing in a casual setting.,The people are sleeping in their beds.,contradiction
Teller working at a bank.,The teller is sitting on a coach.,contradiction
"Baby wrapped in soft, pink onesie lying in leaves.",A baby is wrapped in a towel in a hospital bed.,contradiction
Two girls with dark hair and white shirts.,Two blonde girls in blue shirts.,contradiction
Two men woodworking together.,The men are carving stone.,contradiction
a young man wearing a green shirt in jumping in the air,A man is sitting in a chair.,contradiction
"A woman dancing on the beach, with the ocean in the background.",A woman is swimming in a lake.,contradiction
"A man in a yellow shirt and a man in a white shirt are standing together, with some sort of tent behind them, and stuffed animals on the ground behind the man in the white shirt.",The men are about to swim.,contradiction
"A dog runs down the street, carrying a newspaper.",A dog chasing a ball on a beach.,contradiction
A man is sitting down making some pottery.,woman using pottery wheel,contradiction
The lady is sitting at the sewing machine working.,The lady scoops ice cream into bowls.,contradiction
A dog is playing with a hose.,A dog is sleeping,contradiction
Two young men sitting at a table and smiling.,Two women are running down a street.,contradiction
Two dogs playing on grass.,The pets are asleep,contradiction
A man and a woman are biking on a sunny day.,A couple is dancing in a bar.,contradiction
Three dogs are playing in the white snow.,The dogs are playing inside.,contradiction
Two skateboarders walking down a street filled with no parking sings.,Five hikers went hiking.,contradiction
Several people in three elevators.,Two empty elevators.,contradiction
A man in a red shirt riding a horse in what seems to be a rodeo.,The man is riding a bull,contradiction
A vendor is walking down the street selling cotton candy.,The vendor is stopped at a street corner and is selling hot dogs.,contradiction
Four girls in a kitchen near a plate of brownies.,Four girls ate a plate of brownies,contradiction
Small boy dancing in a water sprinkler near a building.,The boy was sitting.,contradiction
Three men eat lunch on a park bench.,The bench is imaginary.,contradiction
A baby and 2 year old laying on the ground under a play mobile.,A man plays with a mobile toy.,contradiction
Two little kids play on a pebble covered beach.,Two children play hide and seek in a forest.,contradiction
"A buy with glasses petting his bulldog, on the pavement with woods in the background.",The dog is speeding after a rabbit.,contradiction
The brown dog is laying down on a blue sheet.,The brown dog is running.,contradiction
A man in a black shirt is at the microphone.,A man is sitting in the crowd.,contradiction
Three adults and one child are walking along a paved path that is snow covered.,They are running,contradiction
This man appears to be sleeping while resting his head on his hand.,"A man is wide awake, singing his favortie song.",contradiction
"A black and white spaniel gently mouths the face of a toddler-aged girl wearing a red shirt, khaki skirt and black shoes while the girl looks somewhat amused and somewhat disgusted by the dog's touch.",A spaniel investigates a screaming toddler.,contradiction
Two children wearing sunglasses sit outside of a plastic tent.,The children are indoors watching TV.,contradiction
A kid in an ocean rides a wave.,A kid in a spaceship.,contradiction
A man laying on the floor as he works on an unfinished wooden chair with a tool on the ground.,A man is standing on a recliner.,contradiction
A young man wearing jeans is walking down a sidewalk with a stack of papers on his head.,There is a woman running down the street.,contradiction
"Five children spin around on a playground roundabout; three lay on their backs, while one attempts to pull himself up with both arms, and another holds onto the side while sitting up.",A monkey is stealing bananas from a greengrocer.,contradiction
Four young children dressed formally pose for a potrait with the two boys standing in front and the two girls smiling in the back.,Children are running around in swimsuits.,contradiction
Tourist are roaming around the city and some of them take a photo,They came for a vacation from Pluto.,contradiction
"This is a man, who has a rope in is mouth, and a baby cow up in the air",The man is playing tennis.,contradiction
Three girls with head wraps carrying objects while standing on unpaved surface.,Three girls baking cookies,contradiction
A man fixing his bicycle by some trees.,A man stands in a garage that is closed.,contradiction
"A young woman and older woman wear traditional saris as they spin textiles, three people are pictured at only the waists, and wear modern clothes.",The women drink raucously.,contradiction
"A person with a blue suit and a red wig sitting next to a wall, where the window has green blinds.",The person is standing and leaning on the wall.,contradiction
A group of people are talking in a public area.,Someone is silent in a public area.,contradiction
A smiling man checks his net on the boat.,A woman on a boat checks her net.,contradiction
Men playing volleyball in the sand.,The gentlemen are playing football.,contradiction
A group of people are running a marathon in winter.,The group of people are running a marathon during the summer.,contradiction
A man walks along the sidewalk while holding his briefcase.,A man is sitting on a chair.,contradiction
People in the kitchen at a party with food and drink.,The people are having a picnic by the lake.,contradiction
Street musician is playing the Chinese violin.,A man is playing the piano.,contradiction
An older man stands next to a woman who is laughing.,Two strangers are ignoring each other waiting for a bus.,contradiction
Four different men sitting outside on cement steps in front of a building.,The four friends are inside playing poker.,contradiction
A group of people are sitting around a table in a restaurant.,One person climbs a tree.,contradiction
People of various ages rollerskating.,There are people going for a swim,contradiction
man and a barefoot woman lying on the grass by water snuggling.,the man is running from the police,contradiction
A boy holds a picture over his head.,Boy is looking at the mirror,contradiction
A toddler in a yellow bathing suit is dipping her toe in a wading pool.,The child is wearing black.,contradiction
Dark-skinned man paddling a boat in deep water.,The man paddling the boat is light-skinned.,contradiction
A woman with a head covering and traditional clothing is reading into a microphone from a piece of paper.,The woman's head is fully exposed.,contradiction
A woman in a polka dotted shirt waits for a safe moment to cross the street.,A woman is giving birth along the street.,contradiction
A man is talking on his cellphone while looking at his laptop.,the man is running down the street.,contradiction
Onlookers watch as a man on a skateboard attempts a trick off a table sitting on stairs.,The man is riding his skateboard in a half pipe.,contradiction
"Woman wearing a black sunhat, black dress and black Ugg clogs, walking in a city square.",The woman is wearing a white dress.,contradiction
A guy in a yellow shirt and light brown slacks is playing golf while the crowd watch.,A crowd is ignoring the golfer.,contradiction
Two disabled bicyclists are racing three wheeled cycles that have been adapted for them.,Two men run down the street,contradiction
"Two men in karate uniforms, one with red gloves and belt and the other with blue gloves and belt, box, while the man in blue is making a face as if her were screaming.",The men are fighting in the boxing ring.,contradiction
Two people are cuddling while overlooking a harbor with mountains in the distance.,The two people hate each other.,contradiction
Old Woman with blue umbrella sitting down.,A woman is walking in a park.,contradiction
A martial arts class during which one student is holding a board broken by another student while others watch.,A martial arts student bakes a birthday cake.,contradiction
A man sitting outside trying to sell lemonade.,Some kids are selling lemonade.,contradiction
One horse presses its nose to another horse in a field,The horses are in the stable,contradiction
A man reading a book on the sidewalk with just his blue pajamas and headphones while sitting on a chair.,The blind man is sitting on the sidewalk reading and listening to music.,contradiction
Three construction workers discussing how a project should be started.,The women are watching a show about cooking.,contradiction
A boy climbs a plastic wall at a playground.,Boy playing on the swings,contradiction
Here are two men who appear to be practicing martial arts.,Women practice martial arts.,contradiction
A little boy in a green and red shirt and sandals is squatting down on the edge of the curb.,A boy waiting for his friends to street gamble with,contradiction
A fish sellers stock is looked upon by two old men.,Two men look upon a group of paintings.,contradiction
One shirtless tattooed man on scaffolding with black pants.,The man is lying on his couch.,contradiction
A little boy is jumping into an outdoor kiddie pool,Nobody is jumping,contradiction
A woman sitting in a chair looking into a mirror.,A woman standing on a chair singing to her empty room.,contradiction
"A man wearing a yellow shirt is riding a large riding lawn mower, which is spraying cut grass behind him; pine trees are visible in the background.",The young man pushes a mower toward the clearing.,contradiction
Two girls with purple hair and a short-haired woman are smiling.,"The three females have pink hair, and are arguing with each other.",contradiction
a dog runs across the snow.,The dog is refusing to go outside because it's cold.,contradiction
A lady and two elderly people are slicing cheese.,the cheese is being shot by a gun,contradiction
"A young woman in black is standing in front of a wall with writing, she is holding something in her right hand.",A woman eats a piece of pizza while listening to music in a bar.,contradiction
A young man with a shaved head and glasses is sitting at a kitchen table using a computer.,girl sits in front of fan,contradiction
Two women riding horses together.,The women are racing in the Daytona 500.,contradiction
"Two people ride on a white motorcycle between two rows of parked motorcycles, and the driver smokes a cigarette.",Two people are washing a vehicle.,contradiction
A band is performing an outdoor concert with guitars and drum set.,The band is on the road touring.,contradiction
"A young boy playing basketball in a gym, wearing a uniform.",A uniformed boy sits and contemplates fascist trends at his school.,contradiction
A man dressed as a soldier carrying guns.,The man is wearing a doctor's coat.,contradiction
A man wearing a white striped shirt is dancing in the center of the dance floor with a woman in a showy black and white dress and high black leather boots.,Two people are riding a mechanical bull in front of the large crowd.,contradiction
A little boy wandering through a forest.,The boy is wandering in a store.,contradiction
A man standing and putting dreads in a women's hair while she stairs off into the distance.,A man cuts the ladies hair off.,contradiction
Two boys in underwear play in the water in the city street.,The two boys are not anywhere near a city.,contradiction
A male hiker high in the mountains.,A guy is driving in the mountains.,contradiction
Two boys in red swim trunks hold each other in the water.,Two boys in red bathing suits sitting on the side of a pool.,contradiction
A man in a questionable bottom wheels his grocery cart across a gathering in the street.,A woman is inside a grocery store.,contradiction
A man and a woman are standing next to a truck that has a very weak cloth covering it.,The man is driving a porsche,contradiction
A woman in a red coat and brown hat and a man in a black leather coat walk by a street food vendor.,The street food vendor is inside the building.,contradiction
The Wine Shop,The Wine shop does not sell alcohol or wine,contradiction
Several people walking at the park with a little girl in green shirt holding on to an adult wearing a white shirt.,People are playing flashlight tag at the park.,contradiction
A boy on a chained swing looks to the right and smiles.,The boy is very angry.,contradiction
A person in a black jacket and a red hat stands on top of a mountain with more mountains and clouds in the distance.,two men stand on K2,contradiction
A dancer pole dancing in the middle of the street outside BUA.,The dancer is breakdancing,contradiction
"Balding man with a beard who has fallen asleep leaning on another man next to him, against the rails of a set of stairs.",two police officers sit in a patrol car,contradiction
A little girl is watching a little boy roll a ball on the pavement.,The little girl is kicking the ball.,contradiction
A person with a black knapsack and wearing a helmet is riding a blue scooter.,A person with a white knapsack and wearing a helmet is riding a blue scooter.,contradiction
A girl smiles and leans on a tree as she climbs a hill,A girl is at the dentist.,contradiction
"Four people wearing jackets in a large, plant-filled field.",four people are in a desert,contradiction
Military personnel dressed in greenish gray uniforms with matching hats stand in front of a stage.,The people are standing behind the stage.,contradiction
A girl with a black bag in a cramped position on a train,A girl riding a horse.,contradiction
A woman wearing pink pants is sitting on a chair and playing the bass guitar.,A women wearing pink pants is really not a musician.,contradiction
Crowd loving the performance as the band steps forward to take a bow.,The band played without an audience.,contradiction
Large brown dog running away from the sprinkler in the grass.,A cat being loyal.,contradiction
A man in swim trunks poses in a yoga stance on the beach.,The man is wearing yoga pants.,contradiction
A female swimmer with goggles and a cap does the backstroke.,a female swimmer is taking a break by the pool,contradiction
Yellow dough is rolled out with a rolling pin.,A man bumps into a table.,contradiction
Oklahoma football player running after a Wisconsin player during a game.,There are boys playing basketball.,contradiction
Old lady crosses the street in the city.,The lady walking her dog in the woods.,contradiction
A young girl showing her purple tongue,A young girls shows her purple leg.,contradiction
Four men wearing turbans wait to give elephant rides to people.,The men are standing next to camels.,contradiction
A young man with a Mohawk begins to jaywalk across the street.,The man struggles with baldness.,contradiction
A group of girls is waiting to catch another girl that is doing a somersault in the air.,A group of girls waiting to catch a bus.,contradiction
a woman walks across a large rock.,The woman fell while walking across a large rock.,contradiction
A man and woman boxing in a park.,The couple are on a romantic dinner.,contradiction
A male dancing out in a nightclub.,Man slapping strippers,contradiction
Men dressed up for some sort of event with huge smiles on their faces.,a group of women enjoy a strip club,contradiction
Two men watch as a man in a blue hard had makes repairs.,The men are eating lunch.,contradiction
A man lifts a child up to reach the bars at a playground.,A woman and a cat sleep on a couch.,contradiction
A woman with a white visor and blue top and white pants eating while standing in a crowd.,A woman driving a car.,contradiction
A car which looks to be a hatch back is on fire with a man in a fire proof suite and helmet is laying across the hood while people are watching,A hatchback is on fire and a fireman is running far away from it.,contradiction
A boy laying on a rock in the middle of a calm stream.,The boy is jumping,contradiction
Two children wearing sweater and pants are walking across the water on a stone path.,The young people in the picture are playing soccer.,contradiction
Two dogs are running through a small pond,Some dobermans are chasing a cat.,contradiction
Four dancers on a street corner breakdancing for an audience.,the paper clips are bent,contradiction
Three dogs affectionately playing,The dogs are sleeping.,contradiction
A woman is riding a bicycle towards a red light.,A women is dinning at a fancy restaurant,contradiction
"A man wearing black pants, leggings, a white shirt, and a bright red vest rides a leaping, rearing mule in front of two outriders and a crowd of spectators.",The man is riding a bike.,contradiction
"A group of people, one woman with red-hair, sit at a dinner table.",A group of black haired people sit at a dinner table.,contradiction
"A crowd is standing under a banner, facing away from the camera.",A crowd disperses after a protest.,contradiction
A brown and white dog runs through an obstacle.,Two dogs are swimming in a lake.,contradiction
Small child wearing a yellow life jacket walks in the sand with their boogieboard on their head.,A small child with a yellow life jacket is in the water.,contradiction
A guitarist and a drummer play on stage for an audience.,A guitarist and a drummer taking a rest in sofa,contradiction
"A man and a woman work in a field, both wearing large hats.",Everyone has an uncovered head.,contradiction
Black dog jumps through snowy field.,A dog is running through the house.,contradiction
"A man poses for a little girl, his arms outstretched, with a large church in the background.",A man is dancing with his little girl.,contradiction
A fresh fruit and vegetable stand with people standing in front of it.,People sitting at a dining room table.,contradiction
"A man sits in his car, with his arm resting on the door.",A man wrecks his car.,contradiction
A gentlemen wearing brown pants and shirt is talking to a man with a white shirt in front of a sewing machine.,Nobody is talking,contradiction
A baby smiles at a woman across the table.,The woman is sleep.,contradiction
A man in a big black coat and hat walks down the street.,The man is inside the house.,contradiction
A person wearing a shirt with a rainbow on it sits on a sidewalk with legs crossed.,The person is playing hop-scotch,contradiction
Many people walking on the sidewalks near an Apotheke.,Many people are in a movie theater,contradiction
"A sidewalk with a reduce speed sign on it, a tall darker skin man in a blue and yellow shirt walking away from it.",the man is in a green and red shrit,contradiction
A woman in a brown coat holding a Macy's shopping bag walks down a public street.,A woman has a box of donuts.,contradiction
A band is performing on a stage.,"The band is backstage, giving an interview to a news reporter.",contradiction
There is a massive crowd by Oxford Circus Station.,There is only a few people by the Oxford Circus Station.,contradiction
Small boy in a green shirt is buried up to his waist in sand.,The small boy is running in the sand.,contradiction
"A person wearing a hat and carrying a knapsack walks uphill on a sand dune under a dark, cloudy sky and leaves the only visible footprints behind.",A man is wearing a fedora and carrying a backpack,contradiction
A barista that is wearing a black shirt is making a cup of coffee using a big machine.,A man in a black shirt is drinking a cup of coffee.,contradiction
A person wearing a black sweatshirt and red pants is riding on a snowboard on a green box.,A young girl is playing with her dolls on the floor.,contradiction
A pitcher with a red shirt is throwing a ball and his teammate is waiting to catch near a base.,A pitcher of water sits on the dresser.,contradiction
There is one man who is sitting on top of a school bus while another man walks down the aisle of the bus.,A woman is sitting on top of a school bus while man walks down the aisle of the bus.,contradiction
A dog in a sandy area with the sand stirred up into the air and several plants in the background.,The dog is walking through a forest.,contradiction
A horse pulls a carriage behind him with lots of children in it.,Horses are extinct.,contradiction
"Three kids are playing on the beach, one with a fishing pole, one putting his shirt on, and one leaning on the sidewalk.",The three kids are at a circus.,contradiction
A woman walks along the beach as three children follow her in a line.,Three children walk in front of a woman.,contradiction
"Busy people on the streets of a local market, one lady is checking her bag to grab the money to buy something.",A lady is singing in the market,contradiction
Two homeless people sleep outside a store with all their belongings in a shopping cart in between them.,The homeless people are sleeping on a bench,contradiction
A blacksmith is hammering a heated piece of metal to shape it.,a woman blacksmithing,contradiction
man in suit walking past elevator.,A man is sleeping.,contradiction
A girl shaving her head.,The girl is using hair dye.,contradiction
A man with an apron cooks husks of corn.,A man in a business suit read the paper.,contradiction
"An older, balding man falling asleep on a chair in front of bookshelves.",A young boy is playing in a yard.,contradiction
A woman in a red outfit is playing a electric guitar.,The person is on a couch.,contradiction
Looks like a traveler going places in his toyota.,a person working on an engine,contradiction
A youth standing nest to a metal fence with a black shirt on and a cigarette in their mouth.,a young person trying to climb a fence while smoking a cigarette,contradiction
Two children running with no shoes on.,They have shoes on.,contradiction
A man holding a hard hat wearing an orange shirt looks at the camera.,A woman poses for her closeup.,contradiction
Some people are in a bicycle shop.,People are standing in a flower shop.,contradiction
"Soldiers stand in formation outside of a building, and one man dressed in street clothes stands near them.",They are currently marching.,contradiction
A child is performing with a toy while on stage with a colorful balloon backdrop.,A child is playing outside.,contradiction
A man with gloves works in a lab.,Nobody has gloves.,contradiction
A brown and a brown dog are running.,A yellow and brown dog are sleeping.,contradiction
A baseball player picking up a baseball during the game.,The baseball player is taking a shower.,contradiction
"It looks to me like two men here wearing work uniforms have been trying to clear the gutters together in a foreign country, possibly the UK.",Two men watch people clean gutters.,contradiction
A player falls on her knees during a roller derby.,A roller derby player sits on the bench.,contradiction
Five men repairing mountain bikes.,Five men are riding bikes.,contradiction
A man wearing a yellow vest and gray fisherman's cap is sitting in a red chair along with another similarly dressed man in a red chair next to him.,A woman washing her hair.,contradiction
A smiley lady wearing glasses with a glass of milk.,An angry looking man is drinking a beer.,contradiction
A guy with his hands in his pockets of his jacket while walking beside a white business van.,Nobody has a jacket.,contradiction
People are standing while waiting to the exit area.,The people are sitting outside,contradiction
Young students in a rural school long to be released from the classroom.,Children are excited to return to school.,contradiction
A boy smiles and swims in blue water.,The boy is sitting in the sand.,contradiction
"Football player# 40 in black and white uniform catching a football, while teammate# 28 looks on.","Football player# 25 in black and white uniform catching a football, while teammate# 3 looks on.",contradiction
A girl playing her guitar in her bedroom.,The girl is running on a treadmill at the gym.,contradiction
"A bike rider with khaki green shorts, a blue shirt, backpack and helmet is riding on the street near a red station wagon that is missing a hubcap on the back drivers side.","The bike rider is careening out of control down a hill, banging into a nice sports car and giving it a dent in the passenger-side door",contradiction
A man dressed in armor is kicking another man who is laying on the ground.,The man is wearing pajamas.,contradiction
An attractive lady with long blond-hair and wearing a shiny pink coat and short pink skirt is standing in the street in front of a cameraman on a motorcycle.,The woman is in the ocean.,contradiction
Workers build up a new brick house.,Workers are tearing down the structure.,contradiction
There are several different bicycles sitting in front of several shops.,There are no bikes outside of the shops.,contradiction
Kids are dressed in costume and playing a game.,Kids dressed in their sunday best play together,contradiction
Two beige dogs play in the grass.,The dogs are resting on the porch.,contradiction
A man is kissing another man on the cheek.,The men are sneezing.,contradiction
A group of four men washing and drying dishes in a commercial kitchen.,A group of four men washing and drying dishes in a large tent.,contradiction
A girl sits on a rock wall while looking at her cellphone.,The girl is sitting on a washing machine,contradiction
A small child is coloring with crayons.,There are children watching others color,contradiction
A woman in a red shirt looks very happy next to a man playing a guitar in a very futuristic setting while a camera records them both.,woman plays drums for guy sitting on chair,contradiction
A man in a black NFL jersey holds a large pile of PS3 games while a man holds a boom mike over him with a crowd in the background that includes a man in a large dog costume.,The man is not wearing an NFL jersey.,contradiction
Two people have their heads down on a table while a man in a brown jacket looks out the window at a group of bikes and motorcycles.,a man watches two motorcyclist put their heads on table,contradiction
A brown and white spotted dog in a green collar is in the water and looking at something.,The dog has no eyes.,contradiction
The white boat on the water have stopped.,A tank sits on a coastline.,contradiction
A woman is sitting in a white chair at a furniture store.,a boy sits in a stroller,contradiction
Girl in a blue sweater holding her own hands.,Girl in a red shirt sits playing with her hair,contradiction
A little girl with mud on her face cries.,A girl with finger paint on her face is laughing.,contradiction
A large group of people are going down a body of water in several boats.,A large group of people are going inside the house.,contradiction
A group of 4 people are working with a lot of paper.,A man is working with a hammer.,contradiction
Two girls and one boy holding hands and jumping into a pool together.,Two boys and one girl holding hands and jumping into a pool together.,contradiction
A woman is looking upset holding a water bottle in front of a wall with writing on it.,The wall is completely white.,contradiction
Boy with floaties with his feet in the sand on the beach.,A boy is at home playing in his pool,contradiction
Person on beach with an umbrella.,dog eats hockey puck,contradiction
A little girl hugs another little girl.,The little girl is alone.,contradiction
A man is fixing a banister.,The man is fixing a door knob.,contradiction
A tram inspector in an orange vest inspecting the tram seats.,The tram inspector is looking at the brakes.,contradiction
A man fishes.,A woman fishes.,contradiction
A man's upper torso in Union Blue waving with a flag in background and Confederate Gray behind him waving as well.,Union soldiers embrace.,contradiction
A young man in a black shirt and dark colored jeans is laying on a metal structure that is low to the ground.,The man is lying on a lily pad.,contradiction
A young girl with her face painted looks into a mirror held up by an older woman.,A young boy with her face painted looks into a mirror held up by an older woman.,contradiction
Three children jumping into a pool.,who flew to get to russia?,contradiction
"A woman and child, smiling, as they have just sat down for a meal.",Two people are walking around at the zoo.,contradiction
"A man is looking intently at something in his hands while another man, who is slightly behind him, is smoking and holding a can of something in his hand.",Two men are clapping.,contradiction
People walking in a town's street.,A man is sitting in the kitchen.,contradiction
A girl in a white jacket and beige pants stands on top of a blue box.,the girl is sleeping next to the box.,contradiction
A man playing golf with his hands in the air.,The man is playing basketball.,contradiction
Three men by a car fishing in the ocean.,There are four women at a baby shower.,contradiction
A man stands at the top of a stadium staircase.,A woman plays softball.,contradiction
Children jump on a trampoline.,they are sleeping in their bed,contradiction
A boy is riding a plastic sled down a snowy surface.,A boy is making a sand castle.,contradiction
A woman in a red tank top is cutting a hamburger in half with a spatula while opening or closing a drawer with the other hand.,The woman is currently eating.,contradiction
A little boy with a soccer ball flying.,Mary had a little T-Rex.,contradiction
"The two dogs, one of which is leaping in the air, are chasing a ball outdoors.",A cat is fighting another cat,contradiction
"A group of people stand sound outdoors, one wearing pink pants and a blue top.",One person sitting indoors.,contradiction
Two women are drinking from yellow cups and laughing.,Two men are drinking at a bar.,contradiction
A snowboarder leaves a trail of snow on the mountain.,The snowboarder is sitting.,contradiction
A man works on constructing the stairway in a building.,A man is falling down stairs.,contradiction
Three people around a table playing a board game and drinking beer.,Three men are sitting on a sand dune.,contradiction
A woman wears a colorful shirt and a lot of jewelry.,A woman is wearing white shirt.,contradiction
A Chinese olympian lifting weights in a competition.,A man is sleeping.,contradiction
A woman in an orange top is demonstrating a karate kick.,The woman kicked a spoon to the moon.,contradiction
A school band performing in front of a crowded park surrounded by trees.,A school band is taking a field trip.,contradiction
A woman is putting a band on a cigar in a factory.,There is a woman making cars.,contradiction
Boys playing soccer in a field.,Boys playing volleyball at the beach,contradiction
The brilliant white snow serves as a back drop as five men wearing snow boards and winter attire plan their snow boarding adventures.,A group of guys sip hot chocolate.,contradiction
A group of men are hugging each other on stage after a performance,The men are sitting silently in the meeting room.,contradiction
"A small smiling child huddled into the chest of an older man wearing orange, who is also smiling.",The child is alone in her room.,contradiction
Person laying on a busy sidewalk with people walking around them.,A person is riding on the bus.,contradiction
Man shoveling snow away from his car.,a woman shoveling snow,contradiction
A lady in a turquoise t-shirt is walking with her kids that are wearing baseball caps.,The father of the boy's is throwing a ball.,contradiction
